,Red,Green,Blue,Yellow,Orange,Purple,Pink
VA,0,2,2,0,2,1,0
G,0,0,1,0,0,0,0
OA,0,1,2,0,2,2,0
I,0,0,2,1,2,2,0
J,0,1,2,0,2,2,0
QA,0,1,2,0,2,2,0
TA,0,1,2,0,2,2,0
Y,0,1,2,0,2,2,0
V,0,1,2,0,2,2,0
N,0,2,2,0,2,1,0
KA,0,1,1,0,2,2,0
H,0,1,2,0,2,2,0
Z,0,1,2,0,2,2,0
X,0,0,2,1,2,2,0
K,0,2,2,0,2,1,0
EA,0,1,2,0,2,2,0
MA,0,1,2,0,2,2,0
B,0,0,2,1,2,2,0
GA,0,1,2,0,2,2,0
O,0,1,2,0,2,2,0
IA,0,1,2,0,2,2,0
E,0,1,2,0,2,2,0
AA,0,1,2,0,2,2,0
WA,0,2,2,0,1,2,0
BA,0,2,2,0,1,2,0
LA,0,2,2,0,2,1,0
P,0,2,2,0,2,1,0
SA,0,1,2,0,2,2,0
D,0,1,2,0,1,1,0
T,0,1,1,0,1,2,0
FA,0,1,2,0,1,2,0
W,0,2,2,0,2,1,0
DA,0,1,2,0,2,2,0
UA,0,1,2,0,1,2,0
RA,0,2,1,2,0,2,0
CA,0,2,2,0,0,2,0
PA,0,2,1,0,2,2,0
U,0,1,2,0,2,2,0
C,0,1,2,0,2,2,0
A,0,0,2,0,2,2,0
HA,0,1,2,0,2,2,0
Q,0,0,2,0,2,1,0
L,0,0,2,0,2,1,0
F,0,0,1,0,2,2,0
S,0,2,2,0,1,1,0
JA,0,1,2,0,2,2,0
